N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,11.951942,nan,3.118331,6.664230,0.700402,0.913977,0.542105
5090000,622.027923,nan,162.520423,343.962925,36.766687,46.828564,28.161590
10080000,1250.412944,nan,321.625434,683.337077,74.872526,107.256623,56.321520
15070000,1861.147772,nan,481.141620,1014.870610,112.957615,163.727541,84.034134
20060000,2494.189617,nan,640.768597,1357.740715,149.326735,216.574785,112.181348
25050000,3139.826033,nan,800.972155,1707.003245,186.855928,269.337739,140.781686
30040000,3836.907293,nan,954.725517,2037.900771,236.540989,333.922632,165.355361
35030000,4286.958858,nan,1058.201607,2374.305430,261.488791,391.110903,197.590087
40020000,4868.609396,nan,1188.597389,2699.003321,299.413423,431.342907,224.839605
45010000,5469.275780,nan,1334.779708,3043.621948,337.156647,484.073117,251.764965
50000000,6057.826768,nan,1486.700053,3380.122118,373.366951,534.743413,279.352980
