N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.027940,nan,1.653476,5.660255,0.410501,0.953084,0.187360
5090000,457.229924,nan,85.320654,290.463515,22.291446,47.055314,9.837462
10080000,913.576335,nan,167.048802,573.274662,43.903592,107.160446,19.565330
15070000,1371.437667,nan,253.816052,855.190609,66.300457,163.104718,29.379620
20060000,1831.804887,nan,336.461012,1145.724960,88.480775,217.578710,39.517298
25050000,2289.800824,nan,424.941578,1429.987584,110.583751,269.467960,48.475834
30040000,2740.578081,nan,510.089967,1707.302915,131.927461,324.956453,59.706491
35030000,3188.167609,nan,594.871770,1988.899587,153.629894,374.623556,67.673320
40020000,3636.122653,nan,685.902123,2265.321838,176.535696,427.568576,78.100303
45010000,4092.419163,nan,770.331430,2550.345656,198.430886,480.686153,87.731064
50000000,4558.216560,nan,859.546817,2841.465293,219.910799,532.661210,97.499335
