N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.574414,nan,1.301890,2.555261,0.246238,1.476462,0.248644
5090000,213.521547,nan,30.072198,116.206741,7.664808,48.825462,6.810992
10080000,433.444902,nan,61.259042,226.637396,15.321305,106.810806,13.912651
15070000,649.765126,nan,89.567691,348.642039,22.789493,164.214184,20.145933
20060000,864.544432,nan,114.525194,466.576624,32.812348,216.380517,28.240303
25050000,1125.575323,nan,168.212854,593.448448,36.962297,273.982059,33.394330
30040000,1349.909795,nan,198.023277,710.714070,44.083252,324.903855,40.709069
35030000,1546.918841,nan,222.683959,812.954352,57.979724,374.510156,46.976936
40020000,1737.462931,nan,265.881918,918.262307,61.980708,427.249258,54.098456
45010000,1969.458409,nan,298.510419,1037.045548,70.353365,478.612585,60.807449
50000000,2173.282393,nan,314.786920,1153.066402,74.825343,532.339241,67.676757
