N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.167534,nan,1.718083,5.633232,0.457355,0.922817,0.191807
5090000,460.231847,nan,85.200894,289.536347,22.179778,48.256134,9.881882
10080000,918.825164,nan,169.165370,575.386345,44.244251,107.737233,19.787204
15070000,1372.733632,nan,251.862703,861.955688,66.267888,161.042965,29.330965
20060000,1833.820704,nan,340.339815,1146.949327,88.238632,216.026852,39.093019
25050000,2280.603770,nan,423.001771,1425.238178,109.672804,270.348803,48.985013
30040000,2732.344777,nan,509.530409,1708.426598,131.884649,321.701661,58.668459
35030000,3187.101364,nan,596.973042,1988.958081,156.343336,373.660557,68.194582
40020000,3642.795494,nan,687.163846,2271.978155,175.930054,427.052691,78.085658
45010000,4095.457327,nan,772.694766,2548.074541,197.225208,480.093263,87.858725
50000000,4566.062215,nan,863.457525,2844.834715,219.700550,531.546244,97.942118
