N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,5.647858,nan,0.984334,3.140912,0.288248,1.005851,0.192640
5090000,261.718665,nan,41.949230,153.751658,11.227535,41.910667,7.558910
10080000,528.313587,nan,83.370009,310.787582,22.132494,93.926360,15.011573
15070000,792.478256,nan,134.572946,453.624849,32.762203,142.522591,22.414311
20060000,1051.338916,nan,166.396234,618.367623,43.662295,190.441930,29.922431
25050000,1309.829212,nan,211.045695,759.896001,54.408474,234.954709,36.872335
30040000,1580.329240,nan,253.036455,920.495589,65.370558,281.912842,44.840012
35030000,1852.645999,nan,294.868560,1073.654940,76.225833,328.326893,51.923759
40020000,2140.552618,nan,337.602795,1261.641232,86.512168,373.026219,59.103116
45010000,2436.951286,nan,390.550049,1395.610099,98.224095,425.111279,67.125173
50000000,2673.071123,nan,427.029460,1540.362924,109.386699,466.250621,73.836164
