N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.086690,nan,0.982597,3.167911,0.274113,0.990404,0.219541
5090000,267.910069,nan,42.683465,157.060974,11.017360,47.119332,7.460090
10080000,541.411088,nan,84.265271,312.128216,21.982423,103.753168,14.886865
15070000,804.024863,nan,132.759277,452.119788,32.952602,157.441122,22.167560
20060000,1089.030318,nan,170.631536,613.458759,43.281898,210.224044,29.688830
25050000,1350.611671,nan,217.108622,776.852736,54.241969,261.164685,37.407342
30040000,1628.645777,nan,266.358909,923.188447,65.842975,311.051547,44.882418
35030000,1870.529340,nan,301.198719,1065.225631,75.782009,361.822495,52.125319
40020000,2141.275143,nan,345.710767,1232.947829,87.461303,413.873122,59.193454
45010000,2467.875818,nan,411.826328,1374.076344,100.433596,465.537124,67.226978
50000000,2696.608644,nan,427.554591,1524.562441,108.531993,515.055173,74.845339
