N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.318238,nan,2.216017,3.973847,0.718054,0.890454,0.509958
5090000,403.960056,nan,97.680268,194.161467,32.354443,41.338477,24.123760
10080000,787.708943,nan,195.972669,383.994766,63.918434,95.102104,47.697660
15070000,1223.968708,nan,297.939485,593.045921,95.897977,142.715643,71.798126
20060000,1648.412800,nan,386.359203,796.858920,128.402705,188.917512,95.871977
25050000,2015.315045,nan,502.805976,985.800419,160.067301,236.247886,122.016221
30040000,2415.124382,nan,609.498206,1179.393609,191.665107,281.900072,142.445411
35030000,2856.277033,nan,689.060973,1363.467399,234.772213,329.802145,166.924917
40020000,3204.487824,nan,760.229718,1553.327158,259.847694,376.137074,190.322481
45010000,3599.290517,nan,908.202832,1758.053806,288.550356,420.264121,213.400215
50000000,4046.257715,nan,964.971931,1994.697524,340.015358,466.207035,243.732297
