N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.047660,nan,1.659168,5.821228,0.425920,0.911339,0.188486
5090000,456.124072,nan,85.889793,289.418939,22.151629,47.442671,9.730688
10080000,916.391263,nan,168.051846,574.182825,43.833743,106.038652,19.467673
15070000,1370.155860,nan,250.604999,856.721560,66.659414,162.667451,29.370683
20060000,1831.262754,nan,336.694274,1146.742816,88.232212,217.702105,39.027631
25050000,2280.601170,nan,421.652356,1427.259855,111.461601,270.116330,48.647278
30040000,2745.864796,nan,512.169481,1713.956585,131.681321,320.687248,59.425983
35030000,3196.996680,nan,602.498973,1987.888583,153.256514,375.955439,67.991065
40020000,3642.286828,nan,681.938276,2264.190348,178.035496,426.675622,77.258550
45010000,4091.377097,nan,769.796112,2550.236010,198.707457,480.358428,87.527622
50000000,4653.305481,nan,856.190110,2919.554643,219.445258,537.146036,97.962136
