N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.031974,nan,1.641682,5.625867,0.448347,0.928914,0.183657
5090000,459.661415,nan,85.197166,292.401501,21.888495,47.939096,9.802779
10080000,917.781265,nan,168.164238,576.501786,44.424543,107.616617,20.026076
15070000,1373.674767,nan,253.183067,859.620840,65.737225,163.077831,29.467752
20060000,1832.323629,nan,337.077328,1147.255045,87.997483,216.853196,39.364779
25050000,2279.644537,nan,421.333515,1430.062180,109.585870,267.516016,48.710348
30040000,2735.351633,nan,507.521567,1708.419266,131.727029,320.719633,58.574327
35030000,3194.369613,nan,596.987219,1993.428892,154.876342,373.325847,67.982788
40020000,3644.650254,nan,683.828121,2272.873319,175.750151,425.182366,78.102895
45010000,4107.400329,nan,772.277871,2554.351625,198.916973,482.204576,87.795835
50000000,4558.715587,nan,860.353589,2840.868694,220.295465,531.699660,97.598212
