N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,15.988439,nan,5.412066,7.712384,0.989107,0.894488,0.912024
5090000,833.221574,nan,280.139301,397.014765,51.066288,46.741120,47.810400
10080000,1650.538386,nan,556.287973,787.892006,101.767348,107.381240,93.945136
15070000,2472.447652,nan,834.548592,1174.232214,152.487892,162.656416,141.645612
20060000,3289.521230,nan,1109.883844,1566.663686,202.775846,215.951822,188.138980
25050000,4051.634662,nan,1326.754578,1956.792377,254.432339,268.772768,235.411703
30040000,4781.348648,nan,1527.232702,2338.033630,307.007369,320.509761,281.290872
35030000,5506.579130,nan,1718.213247,2724.639520,355.795517,375.043746,327.830575
40020000,6247.831369,nan,1918.105015,3114.829061,407.185125,429.233720,374.669124
45010000,6999.714667,nan,2130.346433,3501.413118,457.543147,482.254982,424.147807
50000000,7762.105721,nan,2354.186308,3888.397586,507.207864,535.640031,467.841375
