N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,8.770578,nan,1.617099,5.600004,0.410455,0.911262,0.178663
5090000,460.744598,nan,84.614607,292.125770,22.207523,47.367440,9.857027
10080000,915.872067,nan,169.356068,575.178596,44.667632,106.898700,19.580984
15070000,1380.410160,nan,252.735615,862.999636,66.673291,162.222995,29.694012
20060000,1827.861325,nan,336.675453,1144.921291,87.194984,214.935016,39.539792
25050000,2281.154741,nan,422.129435,1425.264998,109.774614,268.378808,48.877196
30040000,2732.559548,nan,508.613630,1711.584283,132.440643,319.755898,58.495998
35030000,3186.130731,nan,596.959520,1983.749868,153.291382,373.694872,67.850582
40020000,3648.956830,nan,685.742173,2273.898660,176.493559,426.798207,78.045236
45010000,4106.754704,nan,773.237491,2555.655429,197.722543,482.090495,87.991360
50000000,4752.989933,nan,860.746885,3036.383145,220.975931,532.782629,97.089776
