N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,10.996313,nan,2.000233,4.072308,0.840248,1.217061,0.739264
5090000,271.560653,nan,55.732294,123.804016,16.669136,51.559331,15.046213
10080000,573.968506,nan,116.638654,251.663397,38.763380,114.814382,32.640788
15070000,832.246187,nan,191.069720,356.232410,49.641823,173.830495,44.859794
20060000,1140.430259,nan,253.160507,489.015775,83.458004,231.844593,69.681712
25050000,1441.636669,nan,323.452158,606.164043,103.653576,290.935545,84.705836
30040000,1690.977844,nan,362.389443,730.202884,122.871405,342.892833,94.464954
35030000,2016.815087,nan,468.932890,861.554334,140.105268,400.876987,118.238652
40020000,2280.015100,nan,494.170245,983.636985,168.782001,459.914922,133.368893
45010000,2559.059348,nan,583.900775,1078.955078,184.035724,513.407626,143.346237
50000000,2821.614110,nan,627.499701,1214.673645,210.112247,574.393040,164.185326
