N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,10.289278,nan,2.304482,2.999679,0.828664,1.422430,0.547479
5090000,308.656645,nan,64.084581,132.594199,27.141878,59.410709,16.696479
10080000,612.793292,nan,127.341490,261.346215,58.312411,128.201012,29.885134
15070000,916.470044,nan,189.334930,391.324041,81.537535,195.411723,50.705909
20060000,1224.175876,nan,251.393560,525.112789,115.253983,259.825670,67.870885
25050000,1523.873993,nan,318.852199,651.776866,142.747492,321.362026,78.380835
30040000,1825.954686,nan,384.439657,780.520589,169.730049,384.253674,96.073818
35030000,2124.865758,nan,449.564233,903.035972,202.140070,448.809037,107.922891
40020000,2478.886742,nan,513.936446,1043.054692,227.352942,512.277158,135.072120
45010000,2765.739290,nan,583.319134,1164.658152,253.594363,577.087940,144.886750
50000000,3028.980886,nan,642.511576,1291.652047,280.340444,642.238500,159.312783
