N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,14.400525,nan,4.421032,5.092317,1.777886,1.121669,1.247594
5090000,665.569454,nan,231.646429,218.484336,72.812962,46.653567,56.804336
10080000,1288.281513,nan,446.963670,432.302602,140.576047,99.906515,152.761605
15070000,1928.859124,nan,664.302403,651.810998,209.135524,153.361015,245.979792
20060000,2557.975798,nan,887.996702,856.409073,288.656741,200.687859,320.220911
25050000,3171.736118,nan,1077.209118,1067.148622,363.750178,252.893733,401.513997
30040000,3765.735160,nan,1276.926265,1272.460033,421.695254,300.591886,486.599078
35030000,4249.336036,nan,1480.978650,1490.114747,495.140487,355.450146,388.310689
40020000,5023.336161,nan,1674.403847,1706.823279,553.957154,403.084096,663.470130
45010000,5623.759095,nan,1896.714147,1889.072149,627.573423,454.281152,744.532191
50000000,6273.251969,nan,2096.087482,2141.773474,692.295339,497.003919,812.837549
