N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,16.479588,nan,5.423032,7.791988,0.999848,0.913297,0.911190
5090000,828.584590,nan,280.498463,398.187837,50.775882,47.922253,47.204307
10080000,1652.898703,nan,554.234700,788.992878,101.776199,108.553298,93.338052
15070000,2475.854303,nan,835.039129,1176.036623,152.473179,164.850223,140.202858
20060000,3303.907484,nan,1113.413266,1573.151197,203.194836,216.710144,187.222842
25050000,4041.671988,nan,1324.861607,1952.031931,253.315136,271.337618,235.626113
30040000,4804.657521,nan,1525.451700,2348.395390,308.669738,327.759137,284.362355
35030000,5501.546803,nan,1717.322152,2719.643539,353.694613,374.990389,328.779729
40020000,6272.576895,nan,1921.221720,3111.408890,404.600369,432.268459,376.252842
45010000,6990.410155,nan,2128.616729,3495.752356,456.732466,484.131836,423.392754
50000000,7764.255662,nan,2356.925361,3890.561711,505.416317,534.459823,470.311677
