N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,14.364100,nan,4.504909,4.042549,1.353400,1.834661,1.127038
5090000,529.794292,nan,179.118245,182.560253,62.082400,51.354525,51.654170
10080000,1061.655390,nan,352.192159,360.326703,124.685903,115.336346,102.381640
15070000,1620.027871,nan,526.622998,536.519877,186.312037,175.398376,158.950628
20060000,2126.672487,nan,668.262332,709.640007,241.740347,232.432810,214.827578
25050000,2587.512146,nan,849.676230,882.125507,307.340155,283.939794,254.296838
30040000,3120.710765,nan,1002.294946,1065.269345,369.491141,343.890448,300.712713
35030000,3637.140204,nan,1122.831620,1245.356277,428.265118,401.204326,339.356367
40020000,4059.009207,nan,1265.624794,1421.764233,488.390696,454.352459,395.313868
45010000,4920.651575,nan,1687.184107,1593.771544,570.290644,514.024194,549.765738
50000000,5176.416498,nan,1657.261630,1791.753964,608.915009,572.482939,508.693076
