N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,7.050466,nan,1.196593,1.923705,0.357579,1.315733,0.321676
5090000,186.434540,nan,23.090071,97.678231,5.807278,52.633714,6.598172
10080000,387.451224,nan,50.125282,191.135749,11.718201,114.303657,12.849137
15070000,573.142741,nan,73.793264,284.172040,17.352789,173.627707,19.238275
20060000,757.577694,nan,96.469468,372.909112,23.274863,232.018561,26.024083
25050000,966.665789,nan,132.970557,470.612824,34.419803,286.959129,31.786307
30040000,1156.183439,nan,152.400327,557.351781,34.595400,346.061646,38.234937
35030000,1340.189062,nan,185.685998,653.067342,43.678004,400.800981,44.266479
40020000,1549.860586,nan,199.647621,738.947148,58.569475,457.747081,51.059984
45010000,1742.754034,nan,229.975993,848.842770,64.168887,514.414780,56.883137
50000000,1946.714686,nan,255.118126,952.759006,63.643639,574.688723,64.256492
