N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,8.495824,nan,1.920271,4.400231,0.775449,0.968754,0.430608
5090000,407.568440,nan,88.666054,214.894065,27.426815,46.512350,21.287339
10080000,807.697006,nan,176.703737,426.092352,47.771442,103.432539,31.888550
15070000,1243.707100,nan,264.433375,638.448098,113.372182,158.735174,45.046107
20060000,1611.828890,nan,348.829593,843.010003,140.466152,209.442566,54.975576
25050000,2020.553380,nan,443.522881,1057.823888,147.450666,261.170380,96.320493
30040000,2432.351298,nan,529.498693,1252.052632,192.640629,309.306989,102.111983
35030000,2871.937833,nan,621.594950,1486.008726,254.792497,361.719242,135.846877
40020000,3189.898579,nan,706.213128,1669.774936,245.945797,414.584646,100.736743
45010000,3690.384026,nan,805.995797,1893.114312,342.142195,465.485770,144.199124
50000000,4094.159026,nan,899.786774,2119.024807,301.138490,512.692379,132.503204
