N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,5.345210,nan,0.998357,2.354004,0.351050,1.057410,0.327516
5090000,209.834186,nan,28.871931,113.697415,7.793939,45.529107,7.132887
10080000,424.045147,nan,57.182838,224.361165,15.879830,101.975994,14.104452
15070000,645.875869,nan,94.056275,347.866740,22.605726,153.302388,20.531704
20060000,867.856457,nan,132.954085,464.584069,29.957751,204.136574,27.343758
25050000,1075.064434,nan,165.358840,568.097921,38.784661,253.323546,33.802466
30040000,1336.556846,nan,205.693100,692.430432,49.103153,302.741211,40.483760
35030000,1533.921027,nan,236.005625,793.635795,52.425585,358.336685,46.785625
40020000,1761.789924,nan,276.772081,948.662505,62.402187,405.163577,54.600403
45010000,1979.114224,nan,292.600123,1058.033523,66.672392,448.597716,60.310361
50000000,2195.390148,nan,345.607198,1159.476930,82.297059,500.526401,68.162145
