N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.028430,nan,2.480822,3.389340,0.787012,1.138063,0.528448
5090000,358.653078,nan,78.314321,163.569268,31.425363,52.175362,21.309788
10080000,733.377158,nan,163.671764,324.442432,67.712396,112.205039,45.504065
15070000,1095.200334,nan,237.058743,484.029263,97.497798,173.517974,70.334318
20060000,1458.534486,nan,321.102307,646.571014,132.715043,229.559929,90.235794
25050000,1707.995959,nan,375.493963,796.256609,162.368868,283.329800,79.219451
30040000,2182.796365,nan,484.198100,961.903887,201.567697,339.833583,138.447458
35030000,2540.155763,nan,567.542333,1120.887788,231.606804,395.925156,162.259970
40020000,2907.227606,nan,652.941476,1277.026978,254.413360,451.523486,189.199708
45010000,3275.259278,nan,728.223128,1437.890651,295.936025,506.672151,205.735829
50000000,3650.798173,nan,808.819831,1634.737237,335.648863,565.692532,244.146546
