N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.050023,nan,1.603656,3.129534,0.463253,1.334167,0.434706
5090000,241.813043,nan,42.059505,110.010628,12.526192,55.717273,10.934232
10080000,485.633540,nan,90.101095,218.853457,22.790098,118.815753,21.720348
15070000,725.625144,nan,131.130936,326.257324,42.645696,182.736197,32.796599
20060000,976.552464,nan,172.050540,436.629896,53.657515,241.658139,43.123523
25050000,1234.955598,nan,217.854517,554.211143,73.822615,299.466680,61.145910
30040000,1460.682642,nan,272.068053,650.745917,77.795156,357.627106,65.259819
35030000,1736.092671,nan,335.885879,772.344960,102.359045,420.562847,86.389704
40020000,1992.289248,nan,378.636738,879.958902,124.987185,473.682503,96.938595
45010000,2193.871141,nan,414.516564,995.443275,115.716803,535.060809,113.607239
50000000,2440.832573,nan,468.804516,1105.916283,144.672770,591.658350,120.934277
