N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,7.943961,nan,2.258949,2.892442,0.611070,1.095195,0.510677
5090000,321.777335,nan,76.356411,140.143172,22.363548,45.373056,18.154329
10080000,619.365531,nan,142.023171,288.172499,44.495556,100.893780,35.690739
15070000,958.328469,nan,214.415654,427.317035,66.539749,154.941901,53.817401
20060000,1287.402542,nan,284.621251,605.059368,89.671660,205.131955,71.486322
25050000,1641.422978,nan,376.414285,737.907368,126.709657,254.952315,101.992179
30040000,1928.028823,nan,462.209177,887.476910,133.700146,302.346790,106.007113
35030000,2285.563282,nan,545.403708,1053.503886,173.721902,350.985526,127.744410
40020000,2621.204703,nan,632.809079,1203.981607,173.099024,401.275245,142.444993
45010000,2903.625463,nan,688.932814,1312.579597,234.368945,450.193316,170.494943
50000000,3209.769606,nan,711.771531,1459.454867,244.408829,502.717689,201.331805
