N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,11.114375,nan,2.459099,3.789809,1.075835,1.381980,0.774617
5090000,427.293943,nan,110.809247,182.361415,43.250733,48.691974,25.455262
10080000,818.589614,nan,217.051563,350.951292,81.375471,108.836965,53.380520
15070000,1333.125796,nan,369.664987,531.977817,132.595006,163.785107,132.085188
20060000,1646.931599,nan,431.062020,710.850870,167.204427,218.507644,112.074112
25050000,2380.249430,nan,623.535692,943.915352,220.528212,276.266613,210.638701
30040000,2709.452160,nan,758.765579,1112.506663,272.416301,320.209348,243.210479
35030000,3227.946054,nan,836.969514,1275.584736,314.160436,374.409597,294.009398
40020000,3556.629161,nan,970.432365,1431.356709,344.693788,440.444112,325.929102
45010000,4042.640841,nan,1100.994389,1626.128318,396.437115,491.565474,381.622511
50000000,4655.675460,nan,1234.568497,1975.551924,470.956661,540.336679,413.811021
