N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.976984,nan,1.175936,2.464037,0.394206,1.289665,0.305407
5090000,191.026374,nan,22.946346,94.849690,5.723558,54.385648,6.668487
10080000,385.965704,nan,46.125119,193.130787,11.525310,118.888276,12.917267
15070000,593.604434,nan,76.201203,286.441124,18.694708,182.417369,19.524252
20060000,786.125872,nan,102.242964,386.437755,22.694349,241.297146,25.873101
25050000,972.438674,nan,126.427897,470.885271,32.324546,300.686770,31.886570
30040000,1171.682158,nan,160.123577,566.867253,35.444559,358.387537,38.050451
35030000,1379.624361,nan,192.240147,663.145183,44.966851,417.937549,45.778397
40020000,1568.558690,nan,221.318066,749.678378,57.887721,474.576809,50.228080
45010000,1756.621805,nan,233.918825,843.082402,55.270229,533.854200,57.301307
50000000,1981.620843,nan,257.568272,957.433037,68.516749,593.148674,63.700071
