N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,7.608965,nan,1.547952,3.112345,0.529480,1.673907,0.474387
5090000,249.363393,nan,38.703457,110.759103,10.274975,60.505915,10.686527
10080000,460.400138,nan,63.157206,209.253913,19.217300,129.669711,18.263898
15070000,697.735959,nan,93.180782,315.629436,40.374272,195.742566,28.556533
20060000,912.396126,nan,136.190022,409.816293,43.078424,261.072605,33.760124
25050000,1109.402871,nan,181.143237,495.103237,60.128782,322.347815,48.225956
30040000,1357.417904,nan,218.256688,622.698989,68.408401,384.879700,49.969162
35030000,1579.159200,nan,266.522112,718.102388,73.361606,450.440547,59.276035
40020000,2111.878482,nan,394.704114,933.781303,126.855017,534.158278,91.306322
45010000,2043.125127,nan,344.063376,930.679671,92.987859,579.980679,80.949279
50000000,2268.423286,nan,381.996730,1027.874387,111.648744,642.595873,94.379724
