N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,16.394981,nan,6.171610,5.682127,1.916764,0.903398,1.371636
5090000,683.619628,nan,229.217479,276.768933,49.565006,41.411801,45.404380
10080000,1330.814328,nan,461.991704,506.221256,98.026757,93.591647,116.594912
15070000,1954.154275,nan,576.805681,748.231033,130.939781,142.838473,121.654602
20060000,2720.086249,nan,876.583519,1086.822895,292.405247,189.638180,147.835462
25050000,3153.434904,nan,1059.027070,1290.442798,253.010323,235.351379,150.583285
30040000,3894.760737,nan,1289.354065,1571.258149,266.203407,283.551802,221.354885
35030000,4631.800915,nan,1399.432540,1824.708123,530.361285,329.343220,317.027834
40020000,5118.778876,nan,1842.187071,2099.619947,453.024390,373.194827,219.874968
45010000,5641.235458,nan,1794.653839,2372.757434,559.170607,423.038356,395.062302
50000000,6485.607547,nan,2204.818808,2633.160957,495.177533,469.543309,407.698520
