N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.230171,nan,1.368853,2.331594,0.288968,1.291682,0.328442
5090000,208.667483,nan,30.914500,114.030928,7.676305,44.860601,6.980809
10080000,422.387654,nan,57.354221,226.899246,15.045798,100.751927,13.565446
15070000,647.603071,nan,101.510263,344.886397,22.510935,154.441231,20.199312
20060000,828.426746,nan,118.953921,442.008421,31.317873,203.866308,26.720312
25050000,1081.723786,nan,166.767703,573.454793,37.248346,255.035882,33.756423
30040000,1305.971035,nan,201.364014,695.959737,50.630253,302.726992,40.486737
35030000,1475.544873,nan,213.142573,808.758974,51.288779,349.041187,47.000497
40020000,1725.618486,nan,258.181909,924.648306,70.263851,405.303880,53.836956
45010000,1920.132350,nan,273.323135,1045.446629,71.817427,451.217667,60.331122
50000000,2174.337300,nan,346.058495,1157.811995,81.855365,499.293317,67.100642
