N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,5.816867,nan,0.942296,3.167121,0.285594,0.972644,0.217510
5090000,263.413791,nan,42.558637,153.311595,11.277175,46.191624,7.624720
10080000,533.270154,nan,84.156727,307.824927,22.066489,103.926694,15.233198
15070000,811.243709,nan,128.751472,461.507626,32.935299,157.902793,22.260939
20060000,1086.621196,nan,168.236731,614.786855,43.545623,210.716451,30.068146
25050000,1366.383064,nan,213.615651,770.201066,54.221053,260.044898,37.300113
30040000,1771.118016,nan,264.728242,1041.371124,67.038081,311.097096,44.895144
35030000,1878.945465,nan,305.936277,1078.843626,78.075169,362.522662,51.756549
40020000,2139.539862,nan,342.939739,1231.836502,88.353160,413.602219,59.353056
45010000,2447.615178,nan,409.242279,1404.287994,98.012827,463.648695,66.468630
50000000,2748.490512,nan,460.224914,1559.871335,109.162594,515.746200,74.556582
