N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,10.437961,nan,2.371218,6.123556,0.560083,0.946685,0.342840
5090000,539.776459,nan,124.294240,318.251117,29.441250,47.113555,18.510337
10080000,1097.114072,nan,247.979499,633.600355,58.710058,108.778581,37.148787
15070000,1612.152939,nan,365.269282,939.803291,87.215517,162.771552,55.387404
20060000,2150.355796,nan,485.766055,1251.618931,116.442199,215.728323,73.436593
25050000,2695.653682,nan,610.809154,1561.211925,147.488028,271.354299,91.588854
30040000,3198.564785,nan,709.543720,1873.421597,175.150077,325.484182,111.073836
35030000,3717.676715,nan,825.118459,2172.616775,204.974913,374.226027,128.310919
40020000,4227.522600,nan,933.858722,2480.139019,232.869763,425.109842,146.332205
45010000,4758.241102,nan,1048.992790,2791.547704,263.802418,480.062645,166.506037
50000000,5281.776173,nan,1160.616081,3107.609215,291.961054,532.908192,182.271696
