N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.717622,nan,1.485582,2.774466,0.506888,1.177490,0.362936
5090000,264.668723,nan,49.715113,134.947857,15.213458,48.693652,12.896177
10080000,538.276184,nan,97.916809,264.403794,29.392403,107.448480,25.545258
15070000,824.608011,nan,156.773543,382.494688,44.009564,162.506982,37.436531
20060000,1088.541888,nan,200.201115,528.521261,58.912838,216.296393,50.669578
25050000,1392.950294,nan,292.152319,661.107541,90.684277,269.351864,63.013154
30040000,1640.476333,nan,337.770986,782.558917,89.731026,321.872659,80.579926
35030000,1905.448293,nan,354.752089,917.455551,128.992880,375.199274,87.659165
40020000,2186.158551,nan,432.049770,1039.280828,142.816111,425.966251,100.171526
45010000,2437.361696,nan,499.552979,1184.879811,133.221562,478.582070,111.854268
50000000,2744.790629,nan,550.860949,1333.643094,157.179549,530.088350,133.535626
