N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.015729,nan,1.615276,5.670199,0.404569,0.912364,0.179350
5090000,459.709790,nan,84.634612,293.104527,22.787418,47.584764,9.757450
10080000,926.895089,nan,168.636593,580.715973,44.961056,107.348370,19.606534
15070000,1370.930429,nan,252.092916,858.448567,65.963670,163.534517,29.690126
20060000,1835.363953,nan,338.822622,1144.703974,88.929509,220.561127,38.986309
25050000,2286.396529,nan,423.230171,1426.713559,110.595331,271.396580,49.624777
30040000,2742.912431,nan,509.097316,1715.954068,132.167962,321.468057,59.134927
35030000,3191.276859,nan,596.493380,1992.120493,154.834735,375.289620,68.173081
40020000,3653.133639,nan,685.742281,2274.614172,176.766728,429.503145,77.543131
45010000,4113.810246,nan,777.537899,2554.362528,198.554075,481.428042,88.661569
50000000,4552.090656,nan,858.096014,2836.417164,219.869154,534.305904,97.402043
