N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.884078,nan,2.816127,3.498227,0.960008,1.450249,0.792523
5090000,382.502828,nan,95.124077,146.878500,41.438610,57.466474,30.555791
10080000,754.677913,nan,184.218761,295.959239,76.142144,123.565208,56.551673
15070000,1100.246374,nan,278.341310,438.375531,113.213497,182.186811,82.275291
20060000,1462.984137,nan,364.846890,582.556388,155.568281,241.086160,109.100230
25050000,1845.023214,nan,459.250712,727.715037,193.163232,302.092014,133.702429
30040000,2196.133177,nan,547.275151,866.270269,234.137667,364.940717,165.006525
35030000,2528.552794,nan,617.217690,1017.811532,262.571133,420.841763,186.351769
40020000,2893.302262,nan,712.366217,1152.923474,311.607261,480.139772,206.823283
45010000,3568.557865,nan,974.332110,1305.089652,350.790409,536.012968,293.977821
50000000,3825.379974,nan,913.263161,1455.161395,400.542129,605.872164,280.323146
