N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,7.338376,nan,1.604570,3.568516,0.526250,1.131306,0.385869
5090000,332.569536,nan,70.398497,175.429041,21.604469,45.886747,16.175325
10080000,669.772800,nan,139.465888,344.680716,42.496329,102.661227,31.876300
15070000,1022.792403,nan,214.299761,526.255922,63.231014,156.155339,47.675577
20060000,1380.809385,nan,283.630380,703.880499,85.274571,209.949112,63.805631
25050000,1717.372521,nan,349.521670,879.677329,108.361798,259.858614,79.645567
30040000,2023.518160,nan,416.568039,1043.274270,125.739368,311.323697,95.671310
35030000,2384.731214,nan,485.961779,1243.306264,148.020789,361.506545,111.633070
40020000,2686.432343,nan,557.292145,1395.251885,168.028966,412.645246,128.029842
45010000,3001.415228,nan,632.743103,1544.905876,189.338730,465.297955,142.613066
50000000,3321.161053,nan,702.935419,1722.465915,211.496619,515.848566,159.699227
