N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.033496,nan,1.220060,2.631384,0.464662,1.270626,0.382253
5090000,252.721655,nan,42.151729,125.461841,11.146840,52.069909,9.649117
10080000,479.426408,nan,75.339755,242.080173,21.668023,113.081415,18.802002
15070000,719.977911,nan,115.261017,366.618878,32.821070,173.223439,28.861628
20060000,972.997426,nan,151.784462,492.959650,43.013042,229.135638,38.067201
25050000,1265.653267,nan,233.704484,621.548484,56.154212,286.910689,47.040967
30040000,1498.305687,nan,259.599099,749.366584,69.569769,340.588916,56.391928
35030000,1771.666024,nan,301.152192,875.679823,89.356178,396.095188,67.647856
40020000,2003.214018,nan,347.755577,1008.124704,87.034666,454.107304,76.320933
45010000,2240.889903,nan,370.202083,1093.888047,99.523759,509.771523,92.524729
50000000,2517.572454,nan,441.447472,1241.907531,123.778662,565.403428,99.743507
