N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,10.852768,nan,2.969788,5.007893,1.064607,0.985940,0.741908
5090000,464.636272,nan,131.592151,225.981394,35.014116,46.273178,17.271896
10080000,981.967540,nan,255.399274,471.374697,92.074216,103.590643,57.362298
15070000,1437.646026,nan,380.466735,697.151898,119.208865,158.774069,63.319771
20060000,1912.328525,nan,489.719089,913.380700,147.076546,208.694983,141.761112
25050000,2338.736381,nan,554.172488,1134.888725,196.525749,261.195768,112.552437
30040000,2863.092007,nan,729.676296,1376.747684,220.049667,311.781593,135.610488
35030000,3294.985317,nan,865.248287,1627.906431,281.164221,362.839072,120.444319
40020000,3766.892493,nan,928.534986,1800.278087,341.396863,412.199277,173.257361
45010000,4274.661146,nan,1046.081772,2089.772964,310.231302,467.420636,233.208248
50000000,4600.822848,nan,1186.865574,2295.563184,349.116593,521.981629,203.005594
