N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,9.051718,nan,1.634841,5.722635,0.426274,0.905261,0.188562
5090000,467.981224,nan,86.493020,294.109747,22.580868,49.773205,9.882028
10080000,923.269406,nan,168.276526,580.877839,44.445161,107.026385,19.473460
15070000,1376.528861,nan,253.081771,863.047676,66.605094,161.950414,29.796772
20060000,1829.563083,nan,334.842338,1148.130682,87.442547,216.493595,38.773090
25050000,2278.839370,nan,421.783312,1425.595559,110.502086,269.187940,48.397492
30040000,2733.527741,nan,508.566391,1708.071060,132.206855,318.875519,58.981414
35030000,3180.034888,nan,596.792219,1982.105145,154.343223,375.227953,67.968537
40020000,3988.312709,nan,682.248085,2274.722060,511.575280,427.303218,77.693639
45010000,4096.868209,nan,770.605008,2554.762070,198.974932,479.535479,88.194627
50000000,4558.322431,nan,856.433592,2846.626774,219.182885,534.496866,97.003659
