N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,6.797470,nan,0.978708,3.279308,0.398797,1.344342,0.393846
5090000,195.084712,nan,22.656667,98.340039,5.966380,52.326300,6.551646
10080000,392.609657,nan,44.515613,197.215848,11.700439,115.084960,13.426533
15070000,602.396225,nan,82.571731,290.333376,20.112916,174.065366,19.268371
20060000,784.930897,nan,107.659949,384.288809,22.717179,230.949291,26.187089
25050000,978.939952,nan,132.327128,475.579512,30.551726,289.671619,32.779186
30040000,1168.772112,nan,150.908366,567.814774,40.394495,344.555093,40.430698
35030000,1386.489481,nan,193.990811,669.424216,42.440260,401.092059,47.434438
40020000,1573.926958,nan,225.345605,765.144812,49.291051,454.844343,52.250200
45010000,1781.554832,nan,253.754068,854.720856,61.363465,518.691104,62.191711
50000000,1977.271211,nan,287.336053,945.268276,73.450822,573.200559,63.917780
