N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,15.166855,nan,4.654450,4.194301,1.504974,1.453046,1.516848
5090000,528.620720,nan,170.561585,185.529083,61.557302,53.052351,45.645517
10080000,1045.883639,nan,332.291190,363.502343,120.129497,117.620707,99.673690
15070000,1598.254827,nan,519.579128,545.380702,184.817426,179.688490,151.346742
20060000,2146.329696,nan,708.466713,729.750615,246.859746,239.610037,206.212416
25050000,2671.338576,nan,881.972096,915.871673,318.478645,290.990521,257.797135
30040000,3087.601922,nan,973.529258,1079.290257,368.781264,347.684422,298.530696
35030000,3745.413412,nan,1176.699254,1267.552791,435.881738,399.612857,359.031925
40020000,4099.773945,nan,1281.552427,1444.388898,489.968199,459.918662,391.846285
45010000,4564.845756,nan,1457.272925,1591.439410,536.940743,517.151636,451.619640
50000000,5072.730272,nan,1618.602105,1775.039174,601.822261,565.776022,495.758338
