N,TIME,X,GENERATE,MAP,MERGE,SORT,REDUCE
100000,8.861580,nan,1.243803,1.935316,0.367221,1.388028,0.338155
5090000,197.085543,nan,22.918864,98.296976,5.745855,59.490093,6.663900
10080000,392.149298,nan,48.424532,180.200913,11.880842,129.256013,12.847618
15070000,592.683731,nan,74.339294,275.837461,17.999500,195.306736,19.410496
20060000,804.528849,nan,107.110582,377.756385,22.780969,258.696592,25.377239
25050000,1021.323782,nan,140.723459,471.653810,29.129999,324.058259,32.583166
30040000,1196.792373,nan,155.491529,560.747101,36.786446,388.168516,38.776218
35030000,1406.730437,nan,179.990909,665.809154,50.288679,450.317529,44.127428
40020000,1593.838871,nan,209.559451,749.561658,57.316300,515.058785,51.066948
45010000,1822.124305,nan,241.115814,853.035770,64.034590,579.266239,57.745490
50000000,2014.109629,nan,282.708946,945.647186,67.862251,644.956158,63.423857
