N,TIME,X
100000,6,nan,
5090000,278,nan,
10080000,582,nan,
15070000,863,nan,
20060000,1162,nan,
25050000,1422,nan,
30040000,1712,nan,
35030000,1991,nan,
40020000,2386,nan,
45010000,2637,nan,
50000000,2874,nan,
