N,TIME,X
100000,6,nan,
5090000,302,nan,
10080000,632,nan,
15070000,1000,nan,
20060000,1310,nan,
25050000,1627,nan,
30040000,1894,nan,
35030000,2113,nan,
40020000,2530,nan,
45010000,2738,nan,
50000000,3075,nan,
