N,TIME,X
100000,5,nan,
5090000,250,nan,
10080000,542,nan,
15070000,806,nan,
20060000,1072,nan,
25050000,1320,nan,
30040000,1616,nan,
35030000,1992,nan,
40020000,2243,nan,
45010000,2587,nan,
50000000,2635,nan,
