N,TIME,X
100000,8,nan,
5090000,469,nan,
10080000,938,nan,
15070000,1419,nan,
20060000,1843,nan,
25050000,2315,nan,
30040000,2848,nan,
35030000,3518,nan,
40020000,3766,nan,
45010000,4162,nan,
50000000,4630,nan,
