N,TIME,X
100000,6,nan,
5090000,343,nan,
10080000,654,nan,
15070000,1002,nan,
20060000,1272,nan,
25050000,1639,nan,
30040000,1950,nan,
35030000,2318,nan,
40020000,2590,nan,
45010000,2936,nan,
50000000,3275,nan,
