N,TIME,X
100000,4,nan,
5090000,240,nan,
10080000,480,nan,
15070000,711,nan,
20060000,886,nan,
25050000,1203,nan,
30040000,1389,nan,
35030000,1651,nan,
40020000,1861,nan,
45010000,2113,nan,
50000000,2351,nan,
