N,TIME,X
100000,5,nan,
5090000,274,nan,
10080000,492,nan,
15070000,821,nan,
20060000,1067,nan,
25050000,1370,nan,
30040000,1595,nan,
35030000,1816,nan,
40020000,2221,nan,
45010000,2522,nan,
50000000,2789,nan,
