N,TIME,X
100000,9,nan,
5090000,468,nan,
10080000,953,nan,
15070000,1392,nan,
20060000,1857,nan,
25050000,2317,nan,
30040000,2788,nan,
35030000,3226,nan,
40020000,3678,nan,
45010000,4132,nan,
50000000,4600,nan,
