N,TIME,X
100000,6,nan,
5090000,310,nan,
10080000,589,nan,
15070000,920,nan,
20060000,1188,nan,
25050000,1515,nan,
30040000,1835,nan,
35030000,2131,nan,
40020000,2415,nan,
45010000,2746,nan,
50000000,2997,nan,
