N,TIME,X
100000,4,nan,
5090000,243,nan,
10080000,477,nan,
15070000,750,nan,
20060000,962,nan,
25050000,1215,nan,
30040000,1572,nan,
35030000,1768,nan,
40020000,1948,nan,
45010000,2122,nan,
50000000,2379,nan,
