N,TIME,X
100000,6,nan,
5090000,324,nan,
10080000,633,nan,
15070000,971,nan,
20060000,1264,nan,
25050000,1621,nan,
30040000,1950,nan,
35030000,2335,nan,
40020000,2697,nan,
45010000,3005,nan,
50000000,3363,nan,
