N,TIME,X
100000,6,nan,
5090000,319,nan,
10080000,614,nan,
15070000,953,nan,
20060000,1283,nan,
25050000,1603,nan,
30040000,1870,nan,
35030000,2268,nan,
40020000,2574,nan,
45010000,2865,nan,
50000000,3197,nan,
