N,TIME,X
100000,9,nan,
5090000,469,nan,
10080000,928,nan,
15070000,1387,nan,
20060000,1876,nan,
25050000,2306,nan,
30040000,2777,nan,
35030000,3232,nan,
40020000,3694,nan,
45010000,4127,nan,
50000000,4600,nan,
