N,TIME,X
100000,5,nan,
5090000,277,nan,
10080000,551,nan,
15070000,850,nan,
20060000,1105,nan,
25050000,1343,nan,
30040000,1617,nan,
35030000,1858,nan,
40020000,2272,nan,
45010000,2381,nan,
50000000,2504,nan,
