N,TIME,X
100000,13,nan,
5090000,678,nan,
10080000,1400,nan,
15070000,2069,nan,
20060000,2748,nan,
25050000,3347,nan,
30040000,3991,nan,
35030000,4655,nan,
40020000,5319,nan,
45010000,5991,nan,
50000000,6646,nan,
