N,TIME,X
100000,8,nan,
5090000,469,nan,
10080000,944,nan,
15070000,1414,nan,
20060000,1974,nan,
25050000,2420,nan,
30040000,2813,nan,
35030000,3232,nan,
40020000,3686,nan,
45010000,4138,nan,
50000000,4578,nan,
