N,TIME,X
100000,11,nan,
5090000,506,nan,
10080000,1000,nan,
15070000,1513,nan,
20060000,2028,nan,
25050000,2584,nan,
30040000,3222,nan,
35030000,3639,nan,
40020000,3991,nan,
45010000,4515,nan,
50000000,5141,nan,
