N,TIME,X
100000,14,nan,
5090000,683,nan,
10080000,1390,nan,
15070000,2019,nan,
20060000,2735,nan,
25050000,3369,nan,
30040000,4010,nan,
35030000,4718,nan,
40020000,5345,nan,
45010000,6075,nan,
50000000,6642,nan,
