N,TIME,X
100000,9,nan,
5090000,469,nan,
10080000,930,nan,
15070000,1384,nan,
20060000,1841,nan,
25050000,2303,nan,
30040000,2775,nan,
35030000,3223,nan,
40020000,3688,nan,
45010000,4118,nan,
50000000,4593,nan,
