N,TIME,X
100000,5,nan,
5090000,265,nan,
10080000,479,nan,
15070000,774,nan,
20060000,1029,nan,
25050000,1283,nan,
30040000,1491,nan,
35030000,1837,nan,
40020000,2077,nan,
45010000,2276,nan,
50000000,2623,nan,
