N,TIME,X
100000,4,nan,
5090000,244,nan,
10080000,435,nan,
15070000,723,nan,
20060000,938,nan,
25050000,1168,nan,
30040000,1317,nan,
35030000,1649,nan,
40020000,1772,nan,
45010000,2121,nan,
50000000,2369,nan,
