N,TIME,X
100000,6,nan,
5090000,300,nan,
10080000,635,nan,
15070000,931,nan,
20060000,1278,nan,
25050000,1594,nan,
30040000,1827,nan,
35030000,2144,nan,
40020000,2570,nan,
45010000,2731,nan,
50000000,3200,nan,
