N,TIME,X
100000,5,nan,
5090000,258,nan,
10080000,523,nan,
15070000,839,nan,
20060000,1108,nan,
25050000,1294,nan,
30040000,1590,nan,
35030000,1879,nan,
40020000,2162,nan,
45010000,2392,nan,
50000000,2641,nan,
