N,TIME,X
100000,8,nan,
5090000,467,nan,
10080000,926,nan,
15070000,1390,nan,
20060000,1836,nan,
25050000,2289,nan,
30040000,2757,nan,
35030000,3225,nan,
40020000,3663,nan,
45010000,4122,nan,
50000000,4599,nan,
