N,TIME,X
100000,8,nan,
5090000,457,nan,
10080000,876,nan,
15070000,1292,nan,
20060000,1716,nan,
25050000,2139,nan,
30040000,2587,nan,
35030000,2974,nan,
40020000,3358,nan,
45010000,3851,nan,
50000000,4272,nan,
